csv
"Year,Population,Male,Female"
"1980,10000,5000,5000"
"1981,10200,5100,5100"
"1982,10404,5202,5202"
"1983,10612,5306,5306"
"1984,10824,5412,5412"
"1985,11041,5520,5521 "
"1986,11262,5631,5631"
"1987,11487,5743,5744"
"1988,11717,5858,5859"
"1989,11951,5975,5976"
"1990,12190,6095,6095"
"1991,12434,6217,6217"
"1992,12682,6341,6341"
"1993,12936,6468,6468"
"1994,13195,6597,6598"
"1995,13459,6729,6730"
"1996,13728,6864,6864"
"1997,14002,7001,7001"
"1998,14282,7141,7141"
"1999,14568,7284,7284"
"2000,14860,7430,7430"
"2001,15158,7579,7579"
"2002,15462,7731,7731"
"2003,15772,7886,7886"
"2004,16088,8044,8044"
"2005,16411,8205,8206"
"2006,16740,8370,8370"
"2007,17076,8538,8538"
"2008,17419,8709,8710"
"2009,17769,8884,8885"
"2010,18126,9063,9063"
"2011,18490,9245,9245"
"2012,18862,9431,9431"
"2013,19241,9620,9621"
"2014,19628,9814,9814"
"2015,20023,10011,10012"
"2016,20426,10213,10213"
"2017,20837,10418,10419"
"2018,21256,10628,10628"
"2019,21684,10842,10842"
